"","job_id","task_index","start_time","end_time","task_duration","number_of_entries","avg_cpu_rate","avg_memory_usage","avg_disk_io_time","avg_disk_space_usage","stdev_cpu_rate","stdev_memory_usage","stdev_disk_io_time","stdev_disk_space_usage","var_cpu_rate","var_memory_usage","var_disk_io_time","var_disk_usage_space","median_cpu_rate","median_memory_usage","median_disk_io_time","median_disk_space_usage","max_cpu_time","max_memory_usage","max_disk_io_time","max_disk_usage_space"
"1473",1335742303,9,6e+08,2.514e+11,2.508e+11,836,0.170863755980861,0.00988598923444978,5.25350801435407e-05,1.31517858851675e-06,0.029361780767314,0.000685347505632566,2.52827581416636e-05,4.62803384808388e-07,0.000862114169827812,4.69701203476779e-07,6.39217859249858e-10,2.14186972990101e-13,0.1914,0.009583,4.959e-05,9.537e-07,1.104,0.01146,0.006287,1.907e-06
"2567",2509801316,0,6e+08,2.514e+11,2.508e+11,837,0.289049820788531,0.207999999999999,0.000975649139784946,0.000188019115890083,0.0131064829493947,0,0.00029109952389302,2.6981373483255e-06,0.000171779895302773,0,8.47389328107426e-08,7.27994515042898e-12,0.2905,0.208,0.0009995,0.0001879,18.44,0.208,0.01993,0.0001926
"8854",3244870802,0,6e+08,2.514e+11,2.508e+11,836,0.156820538277512,0.0579684330143538,0.00029535969138756,0.000123334210526314,0.0330872793520333,0.000772953467275628,0.000251174785662345,8.08953353347141e-06,0.00109476805491949,5.97457062573416e-07,6.3088772952525e-08,6.54405527891584e-11,0.1575,0.05829,0.0002284,0.0001235,1.297,0.06024,0.07422,0.0001373
"9253",3695027940,0,6e+08,2.514e+11,2.385e+11,795,0.215220981132076,0.0425827798742141,0.000395542389937107,9.71914968553459e-05,0.0783675902802999,0.000815311407241629,0.000136310255557312,3.86925290974642e-05,0.00614147920634096,6.64732690778325e-07,1.85804857700996e-08,1.49711180795811e-09,0.272,0.0426,0.0003729,9.346e-05,4.828,0.04468,0.05859,0.0001631
"9254",3695027940,1,6e+08,2.514e+11,2.436e+11,812,0.210609273399015,0.0424182512315272,0.00058035972906404,0.000103148534482759,0.0797945854872636,0.000749456454702608,0.000148984542653318,3.84384096358603e-05,0.00636717587308422,5.61684977495402e-07,2.21963939496182e-08,1.4775113353342e-09,0.27125,0.04254,0.00058605,0.0001001,0.7559,0.04449,0.0719,0.0001678
"9255",3695027940,2,6e+08,2.514e+11,2.409e+11,803,0.21544800747198,0.0424335740971359,0.000878421170610212,0.000103668580323786,0.0787974622584321,0.000862543390315002,0.000250978701643045,3.85333589063483e-05,0.00620904005836902,7.43981100176097e-07,6.29903086784285e-08,1.48481974860545e-09,0.2739,0.04254,0.0008574,0.0001001,3.805,0.04456,0.09583,0.0001717
"9256",3695027940,3,6e+08,2.514e+11,2.397e+11,799,0.222550688360451,0.0425419899874845,0.000695026408010013,0.000120549962453066,0.0804445000567172,0.000682055106145701,0.000213646068703991,3.8007001328684e-05,0.00647131758937518,4.65199167819423e-07,4.56446426726704e-08,1.44453214999859e-09,0.2798,0.04254,0.0006695,0.0001163,17.44,0.04456,0.07996,0.000186
"9257",3695027940,4,6e+08,2.514e+11,2.4e+11,800,0.2136209375,0.0423133625000002,0.00046801325,0.00011875365,0.0781975129418062,0.000709262917366463,0.000150832612424007,3.8943830054344e-05,0.00611485103028394,5.03053885951185e-07,2.27504769706508e-08,1.51662189930163e-09,0.272,0.0426,0.0004573,0.0001154,1.279,0.04462,0.07227,0.0001841
"9258",3695027940,5,6e+08,2.514e+11,2.379e+11,793,0.211280517023959,0.0425449684741489,0.00049330315258512,0.000100184564943253,0.0770199466792517,0.000904416090587709,0.000163020691047933,3.80967700100099e-05,0.00593207218647477,8.17968464913955e-07,2.65757457097456e-08,1.45136388519559e-09,0.2695,0.04254,0.0004721,9.727e-05,3.449,0.04456,0.08496,0.000165
"9259",3695027940,6,6e+08,2.514e+11,2.388e+11,796,0.231050175879397,0.0423454145728645,0.000535288190954774,0.000123493756281407,0.0832327188899024,0.000695573030307937,0.000123565535123812,3.84153870683148e-05,0.00692768549380551,4.83821840491767e-07,1.52684414704339e-08,1.47574196360845e-09,0.29025,0.0426,0.0005322,0.0001202,2.621,0.04468,0.06122,0.0001869
